,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,285,1,chr1,285,,,,,,,
start,285.0,,,,206586753.59298247,1314.851936699923,206583090.0,206586303.0,206586989.0,206587276.0,206590033.0
end,285.0,,,,206586754.59298247,1314.851936699923,206583091.0,206586304.0,206586990.0,206587277.0,206590034.0
name,285,1,.,285,,,,,,,
score,285.0,,,,3.156681950863493,8.928819171920379,-0.3457155012774819,-0.0245159268993688,0.5217489969099915,2.313427080526992,80.97428464106434
strand,285,2,-,143,,,,,,,
samplea_counts,285,62,m:1,45,,,,,,,
samplea_total,285.0,,,,82.7859649122807,22.291123087899614,2.0,71.0,81.0,101.0,118.0
sampleb_counts,285,69,m:0,79,,,,,,,
sampleb_total,285.0,,,,82.7859649122807,18.811887897453836,1.0,77.0,86.0,95.0,107.0
samplea_percents,285,197,m:0.00,44,,,,,,,
sampleb_percents,285,154,m:0.00,79,,,,,,,
samplea_fraction_modified,285.0,,,,0.19633541103333335,0.3125524275929399,0.0,0.013157895,0.039215688,0.17582418,1.0
sampleb_fraction_modified,285.0,,,,0.24748434349649123,0.37586458673088174,0.0,0.0,0.021052632,0.28723404,1.0
map_pvalue,285.0,,,,0.7109864700916704,0.43276515614397726,0.0,0.142207636245309,1.0,1.0,1.0
effect_size,285.0,,,,-0.05100287325134355,0.16150699261553367,-1.0,-0.0762886597938143,0.0,0.0266666666666666,0.1976744186046511
cohen_h,285.0,,,,-0.10111078601913613,0.4890985838856771,-3.141592653589793,-0.2884510252308043,0.0,0.218653200348487,0.9214685122708622
cohen_h_low,285.0,,,,-0.0011379688985147165,0.3311495106386579,-0.700045687897162,-0.2009946215842118,-0.0774508554391444,0.0844875907829983,1.8577564691881037
cohen_h_high,285.0,,,,0.6679886085565513,0.4956718179862626,0.2651081464250392,0.4257245885217521,0.5555420578068637,0.7488656460739813,5.542048491767448
