chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high
chr1,206583090,206583091,.,1.6094379124341005,-,m:0,2,m:1,1,m:0.00,m:100.00,0.0,1.0,0.2615764979203873,-1.0,-3.141592653589793,0.7411368154121387,5.542048491767448
chr1,206583173,206583174,.,0.1859338941837904,+,m:69,88,m:66,78,m:78.41,m:84.62,0.78409094,0.84615386,0.5817091530768793,-0.062062937062937,-0.1603874446380691,-0.1444115271522446,0.4651864164283828
chr1,206583174,206583175,.,1.291341766152783,-,m:66,74,m:81,84,m:89.19,m:96.43,0.8918919,0.96428573,0.205079015271862,-0.0723938223938224,-0.2898098703054468,-0.0226693423029549,0.6022890829138485
chr1,206583387,206583388,.,47.75751621086269,+,m:4,92,m:58,81,m:4.35,m:71.60,0.04347826,0.7160494,0.0,-0.6725711218464842,-1.5975035455602298,1.2988726618243185,1.8961344292961413
chr1,206583388,206583389,.,29.4440033862756,-,m:8,47,m:61,71,m:17.02,m:85.92,0.17021276,0.85915494,9.23e-14,-0.6889421636200179,-1.5216224581831108,1.1530600886846218,1.8901848276816
chr1,206583707,206583708,.,80.97428464106434,+,m:12,96,m:95,99,m:12.50,m:95.96,0.125,0.959596,0.0,-0.8345959595959596,-2.0140857632500366,1.7333406646296994,2.294830861870374
chr1,206583708,206583709,.,67.61416270842847,-,m:5,66,m:74,77,m:7.58,m:96.10,0.07575758,0.96103895,0.0,-0.8852813852813852,-2.18653146385634,1.8577564691881037,2.515306458524576
chr1,206583766,206583767,.,59.57921387035259,+,m:15,84,m:89,95,m:17.86,m:93.68,0.17857143,0.9368421,0.0,-0.7582706766917293,-1.7609469476100372,1.4674029794107288,2.0544909158093456
chr1,206583767,206583768,.,32.84199355516853,-,m:23,72,m:70,75,m:31.94,m:93.33,0.31944445,0.93333334,3.2e-15,-0.6138888888888889,-1.4179406437166706,1.0945630847017458,1.7413182027315954
chr1,206584104,206584105,.,11.87279980127363,+,m:74,104,m:93,97,m:71.15,m:95.88,0.71153843,0.9587629,5.2688528077e-06,-0.2487628865979382,-0.724975023803168,0.4483168009004059,1.00163324670593
chr1,206584105,206584106,.,2.752836734690476,-,m:59,75,m:82,89,m:78.67,m:92.13,0.7866667,0.92134833,0.046633610647194,-0.1346816479400749,-0.3917039796721213,0.0844875907829983,0.6989203685612444
chr1,206584137,206584138,.,21.613227981618365,+,m:86,117,m:104,104,m:73.50,m:100.00,0.73504275,1.0,3.7755142e-09,-0.26,-1.0814086788028154,0.8172684027777649,1.345548954827866
chr1,206584138,206584139,.,1.4780185404841006,-,m:43,54,m:48,52,m:79.63,m:92.31,0.7962963,0.9230769,0.1620625908566684,-0.1267806267806268,-0.3744528873919042,-0.0063519634167771,0.7552577382005856
chr1,206584151,206584152,.,3.8547028815132194,+,m:105,116,m:95,96,m:90.52,m:98.96,0.9051724,0.9895833,0.0269675996524238,-0.0795833333333333,-0.4215755873856319,0.1511477405110436,0.6920034342602203
chr1,206584152,206584153,.,2.6229487190719283,-,m:68,77,m:83,85,m:88.31,m:97.65,0.8831169,0.9764706,0.0554933161669946,-0.093353705118411,-0.3898350707276377,0.0814802284143265,0.6981899130409488
chr1,206584176,206584177,.,1.509476675764006,+,m:113,116,m:98,98,m:97.41,m:100.00,0.9741379,1.0,1.0,-0.03,-0.3230366812574026,0.0541229707271161,0.5919503917876889
chr1,206584177,206584178,.,-0.1052488194289935,-,m:79,81,m:87,88,m:97.53,m:98.86,0.97530866,0.9886364,1.0,-0.013327721661055,-0.1019709790135343,-0.1998209338729528,0.4037628919000215
chr1,206584178,206584179,.,-0.3457155012774819,+,m:114,114,m:105,105,m:100.00,m:100.00,1.0,1.0,1.0,0.0,0.0,-0.2651081464250392,0.2651081464250392
chr1,206584179,206584180,.,-0.3297050295578856,-,m:73,76,m:67,70,m:96.05,m:95.71,0.9605263,0.95714283,1.0,0.0033834586466164,0.0170338102277516,-0.3076560324704456,0.3417236529259489
chr1,206584201,206584202,.,0.8846314913344884,+,m:94,96,m:67,72,m:97.92,m:93.06,0.9791667,0.9305556,1.0,0.048611111111111,0.2436582898116657,-0.06190478187855,0.5492213615018815
chr1,206584202,206584203,.,-0.3454698484488858,-,m:83,83,m:87,87,m:100.00,m:100.00,1.0,1.0,1.0,0.0,0.0,-0.3007280091417215,0.3007280091417215
chr1,206584227,206584228,.,5.754035559504189,+,m:93,115,m:93,97,m:80.87,m:95.88,0.8086957,0.9587629,0.0033378876649417,-0.1487628865979381,-0.4963911695308436,0.226193726908333,0.7665886121533543
chr1,206584228,206584229,.,1.1046800772623158,-,m:65,69,m:88,89,m:94.20,m:98.88,0.942029,0.98876405,1.0,-0.0467350594365738,-0.2739231049193198,-0.0404584704018627,0.5883046802405023
chr1,206584272,206584273,.,1.9283632368822623,+,m:92,116,m:95,106,m:79.31,m:89.62,0.79310346,0.8962264,0.0950807083509109,-0.1099999999999999,-0.2884510252308043,0.0250953686178376,0.551806681843771
chr1,206584273,206584274,.,1.747606937011284,-,m:72,83,m:84,88,m:86.75,m:95.45,0.8674699,0.95454544,0.1269530286717679,-0.0870755750273822,-0.315518659043001,0.0156260490337569,0.6154112690522451
chr1,206584304,206584305,.,3.3035633304315866,+,m:102,114,m:100,102,m:89.47,m:98.04,0.8947368,0.98039216,0.0271941361913845,-0.0899999999999999,-0.3798659518558547,0.1127360804706639,0.6469958232410454
chr1,206584305,206584306,.,0.2466750342157979,-,m:69,75,m:74,77,m:92.00,m:96.10,0.92,0.96103895,1.0,-0.0410389610389609,-0.1761324914438415,-0.1418431782795171,0.4941081611672003
chr1,206584395,206584396,.,14.844581373383733,+,m:88,118,m:105,107,m:74.58,m:98.13,0.7457627,0.9813084,2.0756916743e-06,-0.2299999999999999,-0.7826623142495199,0.5210209183005096,1.0443037101985304
chr1,206584396,206584397,.,12.67676146911407,-,m:53,78,m:83,86,m:67.95,m:96.51,0.67948717,0.96511626,2.2912079583e-06,-0.285629099582588,-0.8278772164517192,0.521417434616964,1.1343369982864744
chr1,206584407,206584408,.,5.747990832963524,+,m:90,116,m:93,99,m:77.59,m:93.94,0.7758621,0.93939394,0.0040165506074524,-0.1593939393939394,-0.4888860769632113,0.2207095704105783,0.7570625835158442
chr1,206584408,206584409,.,5.573140923475137,-,m:70,81,m:91,92,m:86.42,m:98.91,0.86419755,0.98913044,0.0031292471048578,-0.1249329039184111,-0.545925685083525,0.2472948013476135,0.8445565688194365
chr1,206584411,206584412,.,8.342609155479408,+,m:76,98,m:90,93,m:77.55,m:96.77,0.7755102,0.9677419,0.0001701094873603,-0.1922317314022383,-0.6260392294421302,0.3423059599450442,0.9097724989392162
chr1,206584412,206584413,.,17.49714119294714,-,m:45,74,m:75,77,m:60.81,m:97.40,0.6081081,0.97402596,1.81091288e-08,-0.3659178659178659,-1.02911782149859,0.7100556311994478,1.3481800117977318
chr1,206584946,206584947,.,5.402041662183763,+,m:79,109,m:87,96,m:72.48,m:90.62,0.72477067,0.90625,0.003017105356166,-0.18625,-0.4821760441863838,0.2078442423056045,0.756507846067163
chr1,206584947,206584948,.,14.038818939561368,-,m:52,74,m:78,79,m:70.27,m:98.73,0.7027027,0.98734176,6.277678079e-07,-0.284639069449196,-0.9278789390318756,0.6108021869567662,1.244955691106985
chr1,206585234,206585235,.,8.099833684317503,+,m:63,86,m:90,95,m:73.26,m:94.74,0.73255813,0.94736844,0.0002208081977212,-0.2148102815177478,-0.6240757575664739,0.3323489427878008,0.9158025723451472
chr1,206585235,206585236,.,3.946314871694426,-,m:48,73,m:67,78,m:65.75,m:85.90,0.65753424,0.85897434,0.0136361775344994,-0.2014401123990165,-0.4803221117463472,0.1611478715086152,0.7994963519840792
chr1,206585379,206585380,.,4.8687032473998215,+,m:83,106,m:90,96,m:78.30,m:93.75,0.7830189,0.9375,0.0052158295285825,-0.1574999999999999,-0.4637442510875016,0.1876004957668077,0.7398880064081955
chr1,206585380,206585381,.,5.118057810538886,-,m:55,71,m:78,82,m:77.46,m:95.12,0.7746479,0.9512195,0.0044511045886685,-0.1765716248711782,-0.5438764276377408,0.2261468057867933,0.8616060494886882
chr1,206585797,206585798,.,2.959190936172547,+,m:63,95,m:76,92,m:66.32,m:82.61,0.6631579,0.82608694,0.0360968434016936,-0.162929061784897,-0.3780452113379355,0.0913547932553923,0.6647356294204787
chr1,206585798,206585799,.,2.453864985931233,-,m:21,56,m:34,57,m:37.50,m:59.65,0.375,0.5964912,0.061997788906866,-0.2214912280701754,-0.4468810707957298,0.0781108261458814,0.8156513154455782
chr1,206585896,206585897,.,19.61618466812763,+,m:54,107,m:92,103,m:50.47,m:89.32,0.5046729,0.89320385,5.0481291e-09,-0.39,-0.8956258507020767,0.6250760382620737,1.1661756631420797
chr1,206585897,206585898,.,21.02130958597172,-,m:37,75,m:77,82,m:49.33,m:93.90,0.49333334,0.9390244,5.015028e-10,-0.445691056910569,-1.085103356211083,0.7719476286065234,1.3982590838156426
